onset	duration	trial_type	trial_name	stim_file	stim_file_index
3.000	0.500	9	VERTICAL-L-R-7	prf_stim_007.png	7
3.850	0.500	37	HORIZONTAL-U-D-7	prf_stim_063.png	63
4.700	0.500	81	DIAGONAL-LD-RU-11	prf_stim_095.png	95
5.550	0.500	105	DIAGONAL-RU-LD-11	prf_stim_207.png	207
6.400	0.500	58	HORIZONTAL-U-D-28	prf_stim_084.png	84
7.250	0.500	37	HORIZONTAL-U-D-7	prf_stim_063.png	63
8.100	0.500	21	VERTICAL-L-R-19	prf_stim_019.png	19
8.950	0.500	62	DIAGONAL-RD-LU-4	prf_stim_032.png	32
9.800	0.500	73	DIAGONAL-LD-RU-3	prf_stim_087.png	87
10.650	0.500	48	HORIZONTAL-U-D-18	prf_stim_074.png	74
11.500	0.500	5	VERTICAL-L-R-3	prf_stim_003.png	3
12.350	0.500	20	VERTICAL-L-R-18	prf_stim_018.png	18
13.200	0.500	101	DIAGONAL-RU-LD-7	prf_stim_203.png	203
14.050	0.500	8	VERTICAL-L-R-6	prf_stim_006.png	6
14.900	0.500	28	VERTICAL-L-R-26	prf_stim_115.png	115
15.750	0.500	38	HORIZONTAL-U-D-8	prf_stim_064.png	64
16.600	0.500	50	HORIZONTAL-U-D-20	prf_stim_177.png	177
17.450	0.500	3	VERTICAL-L-R-1	prf_stim_001.png	1
18.300	0.500	34	HORIZONTAL-U-D-4	prf_stim_060.png	60
19.150	0.500	73	DIAGONAL-LD-RU-3	prf_stim_087.png	87
20.000	0.500	21	VERTICAL-L-R-19	prf_stim_019.png	19
20.850	0.500	11	VERTICAL-L-R-9	prf_stim_132.png	132
21.700	0.500	22	VERTICAL-L-R-20	prf_stim_020.png	20
22.550	0.500	24	VERTICAL-L-R-22	prf_stim_119.png	119
23.400	0.500	45	HORIZONTAL-U-D-15	prf_stim_071.png	71
24.250	0.500	17	VERTICAL-L-R-15	prf_stim_126.png	126
25.100	0.500	36	HORIZONTAL-U-D-6	prf_stim_191.png	191
