onset	duration	stim_file	trial_type
0	2	jip/waar.jpg	5
3	2	jip/jip.jpg	7
6	2	jip/janneke.jpg	11
9	2	jip/hoed.jpg	2
12	2	jip/kom.jpg	12
15	2	jip/ik.jpg	10
18	2	jip/ga.jpg	4
21	2	jip/allemaal.jpg	6
24	2	jip/grootmoeder.jpg	3
27	2	jip/spelen.jpg	9
30	2	jip/plukken.jpg	8
33	2	jip/boe.jpg	1
36	2	jip/plukken.jpg	8
39	2	jip/janneke.jpg	11
42	2	jip/boe.jpg	1
45	2	jip/ik.jpg	10
48	2	jip/hoed.jpg	2
51	2	jip/ga.jpg	4
54	2	jip/spelen.jpg	9
57	2	jip/jip.jpg	7
60	2	jip/allemaal.jpg	6
63	2	jip/grootmoeder.jpg	3
66	2	jip/kom.jpg	12
69	2	jip/waar.jpg	5
72	2	jip/waar.jpg	5
75	2	jip/hoed.jpg	2
78	2	jip/ga.jpg	4
81	2	jip/ik.jpg	10
84	2	jip/kom.jpg	12
87	2	jip/plukken.jpg	8
90	2	jip/janneke.jpg	11
93	2	jip/spelen.jpg	9
96	2	jip/jip.jpg	7
99	2	jip/grootmoeder.jpg	3
102	2	jip/boe.jpg	1
105	2	jip/allemaal.jpg	6
108	2	jip/janneke.jpg	11
111	2	jip/spelen.jpg	9
114	2	jip/allemaal.jpg	6
117	2	jip/grootmoeder.jpg	3
120	2	jip/plukken.jpg	8
123	2	jip/ga.jpg	4
126	2	jip/hoed.jpg	2
129	2	jip/jip.jpg	7
132	2	jip/waar.jpg	5
135	2	jip/boe.jpg	1
138	2	jip/kom.jpg	12
141	2	jip/ik.jpg	10
144	2	jip/ga.jpg	4
147	2	jip/spelen.jpg	9
150	2	jip/grootmoeder.jpg	3
153	2	jip/jip.jpg	7
156	2	jip/kom.jpg	12
159	2	jip/waar.jpg	5
162	2	jip/hoed.jpg	2
165	2	jip/janneke.jpg	11
168	2	jip/ik.jpg	10
171	2	jip/boe.jpg	1
174	2	jip/plukken.jpg	8
177	2	jip/allemaal.jpg	6
180	2	jip/kom.jpg	12
183	2	jip/jip.jpg	7
186	2	jip/janneke.jpg	11
189	2	jip/ga.jpg	4
192	2	jip/allemaal.jpg	6
195	2	jip/plukken.jpg	8
198	2	jip/hoed.jpg	2
201	2	jip/boe.jpg	1
204	2	jip/waar.jpg	5
207	2	jip/grootmoeder.jpg	3
210	2	jip/ik.jpg	10
213	2	jip/spelen.jpg	9
216	2	jip/kom.jpg	12
219	2	jip/ik.jpg	10
222	2	jip/grootmoeder.jpg	3
225	2	jip/ga.jpg	4
228	2	jip/allemaal.jpg	6
231	2	jip/plukken.jpg	8
234	2	jip/hoed.jpg	2
237	2	jip/waar.jpg	5
240	2	jip/boe.jpg	1
243	2	jip/jip.jpg	7
246	2	jip/janneke.jpg	11
249	2	jip/spelen.jpg	9
252	2	jip/ik.jpg	10
255	2	jip/boe.jpg	1
258	2	jip/kom.jpg	12
261	2	jip/hoed.jpg	2
264	2	jip/grootmoeder.jpg	3
267	2	jip/waar.jpg	5
270	2	jip/jip.jpg	7
273	2	jip/spelen.jpg	9
276	2	jip/janneke.jpg	11
279	2	jip/ga.jpg	4
282	2	jip/allemaal.jpg	6
285	2	jip/plukken.jpg	8
288	2	jip/ga.jpg	4
291	2	jip/grootmoeder.jpg	3
294	2	jip/spelen.jpg	9
297	2	jip/allemaal.jpg	6
300	2	jip/janneke.jpg	11
303	2	jip/plukken.jpg	8
306	2	jip/boe.jpg	1
309	2	jip/hoed.jpg	2
312	2	jip/kom.jpg	12
315	2	jip/waar.jpg	5
318	2	jip/ik.jpg	10
321	2	jip/jip.jpg	7
324	2	jip/grootmoeder.jpg	3
327	2	jip/kom.jpg	12
330	2	jip/spelen.jpg	9
333	2	jip/janneke.jpg	11
336	2	jip/ik.jpg	10
339	2	jip/allemaal.jpg	6
342	2	jip/waar.jpg	5
345	2	jip/jip.jpg	7
348	2	jip/hoed.jpg	2
351	2	jip/plukken.jpg	8
354	2	jip/ga.jpg	4
357	2	jip/boe.jpg	1
