onset	duration	stim_file	trial_type
1.6	1.6	motor/red_circle.png	31
4.8	1.6	motor/red_circle.png	31
8	1.6	motor/red_circle.png	31
11.2	1.6	motor/red_circle.png	31
14.4	1.6	motor/red_circle.png	31
17.6	1.6	motor/red_circle.png	31
20.8	1.6	motor/red_circle.png	31
24	1.6	motor/red_circle.png	31
27.2	1.6	motor/red_circle.png	31
30.4	1.6	motor/red_circle.png	31
32	1.6	motor/green_circle.png	30
35.2	1.6	motor/green_circle.png	30
38.4	1.6	motor/green_circle.png	30
41.6	1.6	motor/green_circle.png	30
44.8	1.6	motor/green_circle.png	30
48	1.6	motor/green_circle.png	30
51.2	1.6	motor/green_circle.png	30
54.4	1.6	motor/green_circle.png	30
57.6	1.6	motor/green_circle.png	30
60.8	1.6	motor/green_circle.png	30
