onset	duration	stim_file	trial_type
0	1	words/kaki.jpg	1
3	1	words/kiekoe.jpg	2
6	1	words/kika.jpg	3
9	1	words/koekie.jpg	4
12	1	words/kaki.jpg	1
15	1	words/kiekoe.jpg	2
18	1	words/kika.jpg	3
21	1	words/koekie.jpg	4
24	1	words/kaki.jpg	1
27	1	words/kiekoe.jpg	2
30	1	words/kika.jpg	3
33	1	words/koekie.jpg	4
36	1	words/kaki.jpg	1
39	1	words/kiekoe.jpg	2
42	1	words/kika.jpg	3
45	1	words/koekie.jpg	4
48	1	words/kaki.jpg	1
51	1	words/kiekoe.jpg	2
54	1	words/kika.jpg	3
57	1	words/koekie.jpg	4
