onset	duration	trial_type	trial_name	stim_file
2	2	12	V	images/V_two_fingers.jpg
5.5	2	10	D	images/D_zeige.jpg
9	2	13	Y	images/Y_klein.jpg
12.5	2	11	F	images/F_circle.jpg
16	2	12	V	images/V_two_fingers.jpg
19.5	2	11	F	images/F_circle.jpg
23	2	10	D	images/D_zeige.jpg
26.5	2	12	V	images/V_two_fingers.jpg
30	2	11	F	images/F_circle.jpg
33.5	2	13	Y	images/Y_klein.jpg
37	2	11	F	images/F_circle.jpg
40.5	2	12	V	images/V_two_fingers.jpg
44	2	10	D	images/D_zeige.jpg
47.5	2	13	Y	images/Y_klein.jpg
51	2	11	F	images/F_circle.jpg
54.5	2	12	V	images/V_two_fingers.jpg
58	2	13	Y	images/Y_klein.jpg
61.5	2	12	V	images/V_two_fingers.jpg
65	2	13	Y	images/Y_klein.jpg
68.5	2	12	V	images/V_two_fingers.jpg
72	2	10	D	images/D_zeige.jpg
75.5	2	12	V	images/V_two_fingers.jpg
79	2	11	F	images/F_circle.jpg
82.5	2	13	Y	images/Y_klein.jpg
86	2	11	F	images/F_circle.jpg
89.5	2	13	Y	images/Y_klein.jpg
93	2	10	D	images/D_zeige.jpg
96.5	2	13	Y	images/Y_klein.jpg
100	2	12	V	images/V_two_fingers.jpg
103.5	2	10	D	images/D_zeige.jpg
107	2	11	F	images/F_circle.jpg
110.5	2	12	V	images/V_two_fingers.jpg
114	2	13	Y	images/Y_klein.jpg
117.5	2	11	F	images/F_circle.jpg
121	2	13	Y	images/Y_klein.jpg
124.5	2	12	V	images/V_two_fingers.jpg
128	2	10	D	images/D_zeige.jpg
131.5	2	13	Y	images/Y_klein.jpg
135	2	11	F	images/F_circle.jpg
138.5	2	13	Y	images/Y_klein.jpg
142	2	11	F	images/F_circle.jpg
145.5	2	10	D	images/D_zeige.jpg
149	2	12	V	images/V_two_fingers.jpg
152.5	2	10	D	images/D_zeige.jpg
156	2	11	F	images/F_circle.jpg
159.5	2	13	Y	images/Y_klein.jpg
163	2	12	V	images/V_two_fingers.jpg
166.5	2	13	Y	images/Y_klein.jpg
170	2	10	D	images/D_zeige.jpg
173.5	2	12	V	images/V_two_fingers.jpg
177	2	12	V	images/V_two_fingers.jpg
180.5	2	10	D	images/D_zeige.jpg
184	2	13	Y	images/Y_klein.jpg
187.5	2	11	F	images/F_circle.jpg
191	2	12	V	images/V_two_fingers.jpg
194.5	2	11	F	images/F_circle.jpg
198	2	12	V	images/V_two_fingers.jpg
201.5	2	11	F	images/F_circle.jpg
205	2	12	V	images/V_two_fingers.jpg
208.5	2	13	Y	images/Y_klein.jpg
212	2	10	D	images/D_zeige.jpg
215.5	2	13	Y	images/Y_klein.jpg
219	2	11	F	images/F_circle.jpg
222.5	2	10	D	images/D_zeige.jpg
226	2	12	V	images/V_two_fingers.jpg
229.5	2	10	D	images/D_zeige.jpg
233	2	11	F	images/F_circle.jpg
236.5	2	12	V	images/V_two_fingers.jpg
240	2	10	D	images/D_zeige.jpg
243.5	2	13	Y	images/Y_klein.jpg
247	2	11	F	images/F_circle.jpg
250.5	2	13	Y	images/Y_klein.jpg
254	2	10	D	images/D_zeige.jpg
257.5	2	13	Y	images/Y_klein.jpg
261	2	11	F	images/F_circle.jpg
264.5	2	13	Y	images/Y_klein.jpg
268	2	10	D	images/D_zeige.jpg
271.5	2	11	F	images/F_circle.jpg
275	2	12	V	images/V_two_fingers.jpg
278.5	2	13	Y	images/Y_klein.jpg
