onset	duration	trial_name	stim_file	trial_type 
1	1	k	images/k.jpg	2
3	1	p	images/p.jpg	1
5	1	e	images/e.jpg	6
7	1	oe	images/oe.jpg	3
9	1	t	images/t.jpg	5
11	1	a	images/a.jpg	4
13	1	rest	images/rest.jpg	23
15	1	e	images/e.jpg	6
17	1	oe	images/oe.jpg	3
19	1	a	images/a.jpg	4
21	1	k	images/k.jpg	2
23	1	p	images/p.jpg	1
25	1	t	images/t.jpg	5
27	1	rest	images/rest.jpg	23
29	1	k	images/k.jpg	2
31	1	e	images/e.jpg	6
33	1	a	images/a.jpg	4
35	1	p	images/p.jpg	1
37	1	t	images/t.jpg	5
39	1	oe	images/oe.jpg	3
41	1	rest	images/rest.jpg	23
43	1	a	images/a.jpg	4
45	1	k	images/k.jpg	2
47	1	e	images/e.jpg	6
49	1	t	images/t.jpg	5
51	1	oe	images/oe.jpg	3
53	1	p	images/p.jpg	1
55	1	rest	images/rest.jpg	23
57	1	t	images/t.jpg	5
59	1	k	images/k.jpg	2
61	1	oe	images/oe.jpg	3
63	1	a	images/a.jpg	4
65	1	p	images/p.jpg	1
67	1	e	images/e.jpg	6
69	1	rest	images/rest.jpg	23
71	1.5	allemaal	images/allemaal.jpg	16
74.5	1.5	ik	images/ik.jpg	20
78	1.5	kom	images/kom.jpg	22
81.5	1.5	waar	images/waar.jpg	15
85	1.5	spelen	images/spelen.jpg	19
88.5	1.5	ga	images/ga.jpg	14
92	1.5	janneke	images/janneke.jpg	21
95.5	1.5	grootmoeder	images/grootmoeder.jpg	13
99	1.5	hoed	images/hoed.jpg	12
102.5	1.5	boe	images/boe.jpg	11
106	1.5	plukken	images/plukken.jpg	18
109.5	1.5	jip	images/jip.jpg	17
113	1.5	rest	images/rest.jpg	23
116.5	1.5	hoed	images/hoed.jpg	12
120	1.5	boe	images/boe.jpg	11
123.5	1.5	ga	images/ga.jpg	14
127	1.5	waar	images/waar.jpg	15
130.5	1.5	grootmoeder	images/grootmoeder.jpg	13
134	1.5	plukken	images/plukken.jpg	18
137.5	1.5	janneke	images/janneke.jpg	21
141	1.5	ik	images/ik.jpg	20
144.5	1.5	allemaal	images/allemaal.jpg	16
148	1.5	spelen	images/spelen.jpg	19
151.5	1.5	jip	images/jip.jpg	17
155	1.5	kom	images/kom.jpg	22
158.5	1.5	rest	images/rest.jpg	23
162	1.5	waar	images/waar.jpg	15
165.5	1.5	spelen	images/spelen.jpg	19
169	1.5	hoed	images/hoed.jpg	12
172.5	1.5	ga	images/ga.jpg	14
176	1.5	ik	images/ik.jpg	20
179.5	1.5	grootmoeder	images/grootmoeder.jpg	13
183	1.5	janneke	images/janneke.jpg	21
186.5	1.5	boe	images/boe.jpg	11
190	1.5	jip	images/jip.jpg	17
193.5	1.5	allemaal	images/allemaal.jpg	16
197	1.5	plukken	images/plukken.jpg	18
200.5	1.5	kom	images/kom.jpg	22
204	1.5	rest	images/rest.jpg	23
207.5	1.5	plukken	images/plukken.jpg	18
211	1.5	kom	images/kom.jpg	22
214.5	1.5	janneke	images/janneke.jpg	21
218	1.5	grootmoeder	images/grootmoeder.jpg	13
221.5	1.5	spelen	images/spelen.jpg	19
225	1.5	jip	images/jip.jpg	17
228.5	1.5	hoed	images/hoed.jpg	12
232	1.5	ga	images/ga.jpg	14
235.5	1.5	allemaal	images/allemaal.jpg	16
239	1.5	waar	images/waar.jpg	15
242.5	1.5	boe	images/boe.jpg	11
246	1.5	ik	images/ik.jpg	20
249.5	1.5	rest	images/rest.jpg	23
253	1.5	spelen	images/spelen.jpg	19
256.5	1.5	hoed	images/hoed.jpg	12
260	1.5	ik	images/ik.jpg	20
263.5	1.5	plukken	images/plukken.jpg	18
267	1.5	kom	images/kom.jpg	22
270.5	1.5	grootmoeder	images/grootmoeder.jpg	13
274	1.5	allemaal	images/allemaal.jpg	16
277.5	1.5	waar	images/waar.jpg	15
281	1.5	janneke	images/janneke.jpg	21
284.5	1.5	jip	images/jip.jpg	17
288	1.5	ga	images/ga.jpg	14
291.5	1.5	boe	images/boe.jpg	11
295	1.5	rest	images/rest.jpg	23
