onset	duration	trial_name	stim_file	trial_type 
1	1	k	images/k.jpg	2
3.5	1	p	images/p.jpg	1
6	1	oe	images/oe.jpg	3
8.5	1	a	images/a.jpg	4
11	1	rest	images/rest.jpg	13
13.5	1	oe	images/oe.jpg	3
16	1	a	images/a.jpg	4
18.5	1	k	images/k.jpg	2
21	1	p	images/p.jpg	1
23.5	1	rest	images/rest.jpg	13
26	1	k	images/k.jpg	2
28.5	1	a	images/a.jpg	4
31	1	p	images/p.jpg	1
33.5	1	oe	images/oe.jpg	3
36	1	rest	images/rest.jpg	13
38.5	1	a	images/a.jpg	4
41	1	k	images/k.jpg	2
43.5	1	oe	images/oe.jpg	3
46	1	p	images/p.jpg	1
48.5	1	rest	images/rest.jpg	13
51	1	k	images/k.jpg	2
53.5	1	oe	images/oe.jpg	3
56	1	a	images/a.jpg	4
58.5	1	p	images/p.jpg	1
61	1	rest	images/rest.jpg	13
64.5	1.5	allemaal	images/allemaal.jpg	6
68	1.5	ik	images/ik.jpg	10
71.5	1.5	kom	images/kom.jpg	12
75	1.5	waar	images/waar.jpg	5
78.5	1.5	spelen	images/spelen.jpg	9
82	1.5	ga	images/ga.jpg	4
85.5	1.5	janneke	images/janneke.jpg	11
89	1.5	grootmoeder	images/grootmoeder.jpg	3
92.5	1.5	hoed	images/hoed.jpg	2
96	1.5	boe	images/boe.jpg	1
99.5	1.5	plukken	images/plukken.jpg	8
103	1.5	jip	images/jip.jpg	7
106.5	1.5	rest	images/rest.jpg	13
110	1.5	hoed	images/hoed.jpg	2
113.5	1.5	boe	images/boe.jpg	1
117	1.5	ga	images/ga.jpg	4
120.5	1.5	waar	images/waar.jpg	5
124	1.5	grootmoeder	images/grootmoeder.jpg	3
127.5	1.5	plukken	images/plukken.jpg	8
131	1.5	janneke	images/janneke.jpg	11
134.5	1.5	ik	images/ik.jpg	10
138	1.5	allemaal	images/allemaal.jpg	6
141.5	1.5	spelen	images/spelen.jpg	9
145	1.5	jip	images/jip.jpg	7
148.5	1.5	kom	images/kom.jpg	12
152	1.5	rest	images/rest.jpg	13
155.5	1.5	waar	images/waar.jpg	5
159	1.5	spelen	images/spelen.jpg	9
162.5	1.5	hoed	images/hoed.jpg	2
166	1.5	ga	images/ga.jpg	4
169.5	1.5	ik	images/ik.jpg	10
173	1.5	grootmoeder	images/grootmoeder.jpg	3
176.5	1.5	janneke	images/janneke.jpg	11
180	1.5	boe	images/boe.jpg	1
183.5	1.5	jip	images/jip.jpg	7
187	1.5	allemaal	images/allemaal.jpg	6
190.5	1.5	plukken	images/plukken.jpg	8
194	1.5	kom	images/kom.jpg	12
197.5	1.5	rest	images/rest.jpg	13
201	1.5	plukken	images/plukken.jpg	8
204.5	1.5	kom	images/kom.jpg	12
208	1.5	janneke	images/janneke.jpg	11
211.5	1.5	grootmoeder	images/grootmoeder.jpg	3
215	1.5	spelen	images/spelen.jpg	9
218.5	1.5	jip	images/jip.jpg	7
222	1.5	hoed	images/hoed.jpg	2
225.5	1.5	ga	images/ga.jpg	4
229	1.5	allemaal	images/allemaal.jpg	6
232.5	1.5	waar	images/waar.jpg	5
236	1.5	boe	images/boe.jpg	1
239.5	1.5	ik	images/ik.jpg	10
243	1.5	rest	images/rest.jpg	13
246.5	1.5	spelen	images/spelen.jpg	9
250	1.5	hoed	images/hoed.jpg	2
253.5	1.5	ik	images/ik.jpg	10
257	1.5	plukken	images/plukken.jpg	8
260.5	1.5	kom	images/kom.jpg	12
264	1.5	grootmoeder	images/grootmoeder.jpg	3
267.5	1.5	allemaal	images/allemaal.jpg	6
271	1.5	waar	images/waar.jpg	5
274.5	1.5	janneke	images/janneke.jpg	11
278	1.5	jip	images/jip.jpg	7
281.5	1.5	ga	images/ga.jpg	4
285	1.5	boe	images/boe.jpg	1
288.5	1.5	rest	images/rest.jpg	13
291	1	a	images/a.jpg	4
293.5	1	k	images/k.jpg	2
296	1	oe	images/oe.jpg	3
298.5	1	p	images/p.jpg	1
301	1	rest	images/rest.jpg	13
303.5	1	oe	images/oe.jpg	3
306	1	k	images/k.jpg	2
308.5	1	p	images/p.jpg	1
311	1	a	images/a.jpg	4
313.5	1	rest	images/rest.jpg	13
316	1	oe	images/oe.jpg	3
318.5	1	a	images/a.jpg	4
321	1	k	images/k.jpg	2
323.5	1	p	images/p.jpg	1
326	1	rest	images/rest.jpg	13
328.5	1	p	images/p.jpg	1
331	1	oe	images/oe.jpg	3
333.5	1	a	images/a.jpg	4
336	1	k	images/k.jpg	2
338.5	1	rest	images/rest.jpg	13
341	1	k	images/k.jpg	2
343.5	1	oe	images/oe.jpg	3
346	1	p	images/p.jpg	1
348.5	1	a	images/a.jpg	4
351	1	rest	images/rest.jpg	13
354.5	1.5	janneke	images/janneke.jpg	11
358	1.5	boe	images/boe.jpg	1
361.5	1.5	kom	images/kom.jpg	12
365	1.5	ga	images/ga.jpg	4
368.5	1.5	hoed	images/hoed.jpg	2
372	1.5	ik	images/ik.jpg	10
375.5	1.5	allemaal	images/allemaal.jpg	6
379	1.5	waar	images/waar.jpg	5
382.5	1.5	jip	images/jip.jpg	7
386	1.5	grootmoeder	images/grootmoeder.jpg	3
389.5	1.5	spelen	images/spelen.jpg	9
393	1.5	plukken	images/plukken.jpg	8
396.5	1.5	rest	images/rest.jpg	13
400	1.5	jip	images/jip.jpg	7
403.5	1.5	boe	images/boe.jpg	1
407	1.5	hoed	images/hoed.jpg	2
410.5	1.5	plukken	images/plukken.jpg	8
414	1.5	allemaal	images/allemaal.jpg	6
417.5	1.5	spelen	images/spelen.jpg	9
421	1.5	waar	images/waar.jpg	5
424.5	1.5	grootmoeder	images/grootmoeder.jpg	3
428	1.5	ga	images/ga.jpg	4
431.5	1.5	ik	images/ik.jpg	10
435	1.5	kom	images/kom.jpg	12
438.5	1.5	janneke	images/janneke.jpg	11
442	1.5	rest	images/rest.jpg	13
445.5	1.5	ga	images/ga.jpg	4
449	1.5	plukken	images/plukken.jpg	8
452.5	1.5	waar	images/waar.jpg	5
456	1.5	janneke	images/janneke.jpg	11
459.5	1.5	allemaal	images/allemaal.jpg	6
463	1.5	kom	images/kom.jpg	12
466.5	1.5	spelen	images/spelen.jpg	9
470	1.5	boe	images/boe.jpg	1
473.5	1.5	ik	images/ik.jpg	10
477	1.5	hoed	images/hoed.jpg	2
480.5	1.5	grootmoeder	images/grootmoeder.jpg	3
484	1.5	jip	images/jip.jpg	7
487.5	1.5	rest	images/rest.jpg	13
491	1.5	ik	images/ik.jpg	10
494.5	1.5	boe	images/boe.jpg	1
498	1.5	hoed	images/hoed.jpg	2
501.5	1.5	kom	images/kom.jpg	12
505	1.5	allemaal	images/allemaal.jpg	6
508.5	1.5	plukken	images/plukken.jpg	8
512	1.5	janneke	images/janneke.jpg	11
515.5	1.5	waar	images/waar.jpg	5
519	1.5	jip	images/jip.jpg	7
522.5	1.5	grootmoeder	images/grootmoeder.jpg	3
526	1.5	ga	images/ga.jpg	4
529.5	1.5	spelen	images/spelen.jpg	9
533	1.5	rest	images/rest.jpg	13
536.5	1.5	kom	images/kom.jpg	12
540	1.5	grootmoeder	images/grootmoeder.jpg	3
543.5	1.5	jip	images/jip.jpg	7
547	1.5	plukken	images/plukken.jpg	8
550.5	1.5	janneke	images/janneke.jpg	11
554	1.5	ik	images/ik.jpg	10
557.5	1.5	allemaal	images/allemaal.jpg	6
561	1.5	waar	images/waar.jpg	5
564.5	1.5	boe	images/boe.jpg	1
568	1.5	hoed	images/hoed.jpg	2
571.5	1.5	spelen	images/spelen.jpg	9
575	1.5	ga	images/ga.jpg	4
578.5	1.5	rest	images/rest.jpg	13
