onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
3	0.5	0.35	3	VERTICAL-L-R-1	images/prf_1_001.png	1
3.85	0.5	0.35	4	VERTICAL-L-R-2	images/prf_1_002.png	2
4.7	0.5	0.35	5	VERTICAL-L-R-3	images/prf_1_003.png	3
5.55	0.5	0.35	6	VERTICAL-L-R-4	images/prf_1_004.png	4
6.4	0.5	0.35	7	VERTICAL-L-R-5	images/prf_1_005.png	5
7.25	0.5	0.35	8	VERTICAL-L-R-6	images/prf_1_006.png	6
8.1	0.5	0.35	9	VERTICAL-L-R-7	images/prf_1_007.png	7
8.95	0.5	0.35	10	VERTICAL-L-R-8	images/prf_1_008.png	8
9.8	0.5	0.35	11	VERTICAL-L-R-9	images/prf_1_009.png	9
10.65	0.5	0.35	12	VERTICAL-L-R-10	images/prf_1_010.png	10
11.5	0.5	0.35	13	VERTICAL-L-R-11	images/prf_1_011.png	11
12.35	0.5	0.35	14	VERTICAL-L-R-12	images/prf_1_012.png	12
13.2	0.5	0.35	15	VERTICAL-L-R-13	images/prf_1_013.png	13
14.05	0.5	0.35	16	VERTICAL-L-R-14	images/prf_1_014.png	14
14.9	0.5	0.35	17	VERTICAL-L-R-15	images/prf_1_015.png	15
15.75	0.5	0.35	18	VERTICAL-L-R-16	images/prf_1_016.png	16
16.6	0.5	0.35	19	VERTICAL-L-R-17	images/prf_1_017.png	17
17.45	0.5	0.35	20	VERTICAL-L-R-18	images/prf_1_018.png	18
18.3	0.5	0.35	21	VERTICAL-L-R-19	images/prf_1_019.png	19
19.15	0.5	0.35	22	VERTICAL-L-R-20	images/prf_1_020.png	20
20	0.5	0.35	23	VERTICAL-L-R-21	images/prf_1_021.png	21
20.85	0.5	0.35	24	VERTICAL-L-R-22	images/prf_1_022.png	22
21.7	0.5	0.35	25	VERTICAL-L-R-23	images/prf_1_023.png	23
22.55	0.5	0.35	26	VERTICAL-L-R-24	images/prf_1_024.png	24
23.4	0.5	0.35	27	VERTICAL-L-R-25	images/prf_1_025.png	25
24.25	0.5	0.35	28	VERTICAL-L-R-26	images/prf_1_026.png	26
25.1	0.5	0.35	29	VERTICAL-L-R-27	images/prf_1_027.png	27
25.95	0.5	0.35	30	VERTICAL-L-R-28	images/prf_1_028.png	28
26.8	0.5	0.35	59	DIAGONAL-RD-LU-1	images/prf_1_029.png	29
27.65	0.5	0.35	60	DIAGONAL-RD-LU-2	images/prf_1_030.png	30
28.5	0.5	0.35	61	DIAGONAL-RD-LU-3	images/prf_1_031.png	31
29.35	0.5	0.35	62	DIAGONAL-RD-LU-4	images/prf_1_032.png	32
30.2	0.5	0.35	63	DIAGONAL-RD-LU-5	images/prf_1_033.png	33
31.05	0.5	0.35	64	DIAGONAL-RD-LU-6	images/prf_1_034.png	34
31.9	0.5	0.35	65	DIAGONAL-RD-LU-7	images/prf_1_035.png	35
32.75	0.5	0.35	66	DIAGONAL-RD-LU-8	images/prf_1_036.png	36
33.6	0.5	0.35	67	DIAGONAL-RD-LU-9	images/prf_1_037.png	37
34.45	0.5	0.35	68	DIAGONAL-RD-LU-10	images/prf_1_038.png	38
35.3	0.5	0.35	69	DIAGONAL-RD-LU-11	images/prf_1_039.png	39
36.15	0.5	0.35	70	DIAGONAL-RD-LU-12	images/prf_1_040.png	40
37	0.5	0.35	31	HORIZONTAL-U-D-1	images/prf_1_057.png	57
37.85	0.5	0.35	32	HORIZONTAL-U-D-2	images/prf_1_058.png	58
38.7	0.5	0.35	33	HORIZONTAL-U-D-3	images/prf_1_059.png	59
39.55	0.5	0.35	34	HORIZONTAL-U-D-4	images/prf_1_060.png	60
40.4	0.5	0.35	35	HORIZONTAL-U-D-5	images/prf_1_061.png	61
41.25	0.5	0.35	36	HORIZONTAL-U-D-6	images/prf_1_062.png	62
42.1	0.5	0.35	37	HORIZONTAL-U-D-7	images/prf_1_063.png	63
42.95	0.5	0.35	38	HORIZONTAL-U-D-8	images/prf_1_064.png	64
43.8	0.5	0.35	39	HORIZONTAL-U-D-9	images/prf_1_065.png	65
44.65	0.5	0.35	40	HORIZONTAL-U-D-10	images/prf_1_066.png	66
45.5	0.5	0.35	41	HORIZONTAL-U-D-11	images/prf_1_067.png	67
46.35	0.5	0.35	42	HORIZONTAL-U-D-12	images/prf_1_068.png	68
47.2	0.5	0.35	43	HORIZONTAL-U-D-13	images/prf_1_069.png	69
48.05	0.5	0.35	44	HORIZONTAL-U-D-14	images/prf_1_070.png	70
48.9	0.5	0.35	45	HORIZONTAL-U-D-15	images/prf_1_071.png	71
49.75	0.5	0.35	46	HORIZONTAL-U-D-16	images/prf_1_072.png	72
50.6	0.5	0.35	47	HORIZONTAL-U-D-17	images/prf_1_073.png	73
51.45	0.5	0.35	48	HORIZONTAL-U-D-18	images/prf_1_074.png	74
52.3	0.5	0.35	49	HORIZONTAL-U-D-19	images/prf_1_075.png	75
53.15	0.5	0.35	50	HORIZONTAL-U-D-20	images/prf_1_076.png	76
54	0.5	0.35	51	HORIZONTAL-U-D-21	images/prf_1_077.png	77
54.85	0.5	0.35	52	HORIZONTAL-U-D-22	images/prf_1_078.png	78
55.7	0.5	0.35	53	HORIZONTAL-U-D-23	images/prf_1_079.png	79
56.55	0.5	0.35	54	HORIZONTAL-U-D-24	images/prf_1_080.png	80
57.4	0.5	0.35	55	HORIZONTAL-U-D-25	images/prf_1_081.png	81
58.25	0.5	0.35	56	HORIZONTAL-U-D-26	images/prf_1_082.png	82
59.1	0.5	0.35	57	HORIZONTAL-U-D-27	images/prf_1_083.png	83
59.95	0.5	0.35	58	HORIZONTAL-U-D-28	images/prf_1_084.png	84
60.8	0.5	0.35	71	DIAGONAL-LD-RU-1	images/prf_1_085.png	85
61.65	0.5	0.35	72	DIAGONAL-LD-RU-2	images/prf_1_086.png	86
62.5	0.5	0.35	73	DIAGONAL-LD-RU-3	images/prf_1_087.png	87
63.35	0.5	0.35	74	DIAGONAL-LD-RU-4	images/prf_1_088.png	88
64.2	0.5	0.35	75	DIAGONAL-LD-RU-5	images/prf_1_089.png	89
65.05	0.5	0.35	76	DIAGONAL-LD-RU-6	images/prf_1_090.png	90
65.9	0.5	0.35	77	DIAGONAL-LD-RU-7	images/prf_1_091.png	91
66.75	0.5	0.35	78	DIAGONAL-LD-RU-8	images/prf_1_092.png	92
67.6	0.5	0.35	79	DIAGONAL-LD-RU-9	images/prf_1_093.png	93
68.45	0.5	0.35	80	DIAGONAL-LD-RU-10	images/prf_1_094.png	94
69.3	0.5	0.35	81	DIAGONAL-LD-RU-11	images/prf_1_095.png	95
70.15	0.5	0.35	82	DIAGONAL-LD-RU-12	images/prf_1_096.png	96
71	0.5	0.35	30	VERTICAL-L-R-28	images/prf_1_113.png	113
71.85	0.5	0.35	29	VERTICAL-L-R-27	images/prf_1_114.png	114
72.7	0.5	0.35	28	VERTICAL-L-R-26	images/prf_1_115.png	115
73.55	0.5	0.35	27	VERTICAL-L-R-25	images/prf_1_116.png	116
74.4	0.5	0.35	26	VERTICAL-L-R-24	images/prf_1_117.png	117
75.25	0.5	0.35	25	VERTICAL-L-R-23	images/prf_1_118.png	118
76.1	0.5	0.35	24	VERTICAL-L-R-22	images/prf_1_119.png	119
76.95	0.5	0.35	23	VERTICAL-L-R-21	images/prf_1_120.png	120
77.8	0.5	0.35	22	VERTICAL-L-R-20	images/prf_1_121.png	121
78.65	0.5	0.35	21	VERTICAL-L-R-19	images/prf_1_122.png	122
79.5	0.5	0.35	20	VERTICAL-L-R-18	images/prf_1_123.png	123
80.35	0.5	0.35	19	VERTICAL-L-R-17	images/prf_1_124.png	124
81.2	0.5	0.35	18	VERTICAL-L-R-16	images/prf_1_125.png	125
82.05	0.5	0.35	17	VERTICAL-L-R-15	images/prf_1_126.png	126
82.9	0.5	0.35	16	VERTICAL-L-R-14	images/prf_1_127.png	127
