onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
3	0.5	0	109	CRF-3	spatialpattern/spatialpattern_1_007.png	7
4.7	0.5	0	107	CRF-1	spatialpattern/spatialpattern_1_002.png	2
6.15	0.5	0	112	GRATING	spatialpattern/spatialpattern_1_017.png	17
7.633	0.5	0	116	SPARSITY-2	spatialpattern/spatialpattern_1_029.png	29
8.967	0.5	0	115	SPARSITY-1	spatialpattern/spatialpattern_1_026.png	26
10.383	0.5	0	110	CRF-4	spatialpattern/spatialpattern_1_012.png	12
11.817	0.5	0	115	SPARSITY-1	spatialpattern/spatialpattern_1_025.png	25
13.467	0.5	0	112	GRATING	spatialpattern/spatialpattern_1_018.png	18
15.067	0.5	0	113	PLAID	spatialpattern/spatialpattern_1_020.png	20
16.75	0.5	0	111	CRF-5	spatialpattern/spatialpattern_1_015.png	15
18.1	0.5	0	107	CRF-1	spatialpattern/spatialpattern_1_001.png	1
19.483	0.5	0	113	PLAID	spatialpattern/spatialpattern_1_019.png	19
20.783	0.5	0	114	CIRCULAR	spatialpattern/spatialpattern_1_024.png	24
22.25	0.5	0	114	CIRCULAR	spatialpattern/spatialpattern_1_023.png	23
23.967	0.5	0	117	SPARSITY-3	spatialpattern/spatialpattern_1_031.png	31
25.25	0.5	0	108	CRF-2	spatialpattern/spatialpattern_1_005.png	5
26.817	0.5	0	107	CRF-1	spatialpattern/spatialpattern_1_003.png	3
28.283	0.5	0	116	SPARSITY-2	spatialpattern/spatialpattern_1_030.png	30
29.917	0.5	0	108	CRF-2	spatialpattern/spatialpattern_1_006.png	6
31.5	0.5	0	109	CRF-3	spatialpattern/spatialpattern_1_008.png	8
32.817	0.5	0	118	SPARSITY-4	spatialpattern/spatialpattern_1_035.png	35
34.5	0.5	0	116	SPARSITY-2	spatialpattern/spatialpattern_1_028.png	28
36.25	0.5	0	118	SPARSITY-4	spatialpattern/spatialpattern_1_034.png	34
37.5	0.5	0	112	GRATING	spatialpattern/spatialpattern_1_016.png	16
39.017	0.5	0	115	SPARSITY-1	spatialpattern/spatialpattern_1_027.png	27
40.517	0.5	0	117	SPARSITY-3	spatialpattern/spatialpattern_1_033.png	33
42.25	0.5	0	108	CRF-2	spatialpattern/spatialpattern_1_004.png	4
43.617	0.5	0	110	CRF-4	spatialpattern/spatialpattern_1_011.png	11
45.267	0.5	0	113	PLAID	spatialpattern/spatialpattern_1_021.png	21
46.533	0.5	0	114	CIRCULAR	spatialpattern/spatialpattern_1_022.png	22
48.15	0.5	0	117	SPARSITY-3	spatialpattern/spatialpattern_1_032.png	32
49.683	0.5	0	110	CRF-4	spatialpattern/spatialpattern_1_010.png	10
51.217	0.5	0	111	CRF-5	spatialpattern/spatialpattern_1_014.png	14
52.55	0.5	0	111	CRF-5	spatialpattern/spatialpattern_1_013.png	13
54.1	0.5	0	109	CRF-3	spatialpattern/spatialpattern_1_009.png	9
55.5	0.5	0	118	SPARSITY-4	spatialpattern/spatialpattern_1_036.png	36
57.000	0.5	0	111	CRF-5	spatialpattern/spatialpattern_2_015.png	15
58.683	0.5	0	108	CRF-2	spatialpattern/spatialpattern_2_005.png	5
60.199	0.5	0	114	CIRCULAR	spatialpattern/spatialpattern_2_022.png	22
61.849	0.5	0	109	CRF-3	spatialpattern/spatialpattern_2_008.png	8
63.282	0.5	0	114	CIRCULAR	spatialpattern/spatialpattern_2_024.png	24
64.782	0.5	0	114	CIRCULAR	spatialpattern/spatialpattern_2_023.png	23
66.182	0.5	0	110	CRF-4	spatialpattern/spatialpattern_2_010.png	10
67.482	0.5	0	107	CRF-1	spatialpattern/spatialpattern_2_001.png	1
68.899	0.5	0	113	PLAID	spatialpattern/spatialpattern_2_020.png	20
70.182	0.5	0	107	CRF-1	spatialpattern/spatialpattern_2_003.png	3
71.849	0.5	0	110	CRF-4	spatialpattern/spatialpattern_2_011.png	11
73.432	0.5	0	116	SPARSITY-2	spatialpattern/spatialpattern_2_029.png	29
75.182	0.5	0	115	SPARSITY-1	spatialpattern/spatialpattern_2_025.png	25
76.666	0.5	0	117	SPARSITY-3	spatialpattern/spatialpattern_2_032.png	32
78.182	0.5	0	117	SPARSITY-3	spatialpattern/spatialpattern_2_033.png	33
79.916	0.5	0	115	SPARSITY-1	spatialpattern/spatialpattern_2_027.png	27
81.282	0.5	0	112	GRATING	spatialpattern/spatialpattern_2_018.png	18
82.832	0.5	0	112	GRATING	spatialpattern/spatialpattern_2_016.png	16
84.382	0.5	0	108	CRF-2	spatialpattern/spatialpattern_2_004.png	4
85.999	0.5	0	112	GRATING	spatialpattern/spatialpattern_2_017.png	17
87.632	0.5	0	110	CRF-4	spatialpattern/spatialpattern_2_012.png	12
88.966	0.5	0	118	SPARSITY-4	spatialpattern/spatialpattern_2_035.png	35
90.682	0.5	0	115	SPARSITY-1	spatialpattern/spatialpattern_2_026.png	26
91.949	0.5	0	117	SPARSITY-3	spatialpattern/spatialpattern_2_031.png	31
93.317	0.5	0	116	SPARSITY-2	spatialpattern/spatialpattern_2_030.png	30
94.566	0.5	0	107	CRF-1	spatialpattern/spatialpattern_2_002.png	2
96.249	0.5	0	113	PLAID	spatialpattern/spatialpattern_2_021.png	21
97.832	0.5	0	113	PLAID	spatialpattern/spatialpattern_2_019.png	19
99.216	0.5	0	116	SPARSITY-2	spatialpattern/spatialpattern_2_028.png	28
100.932	0.5	0	111	CRF-5	spatialpattern/spatialpattern_2_014.png	14
102.399	0.5	0	109	CRF-3	spatialpattern/spatialpattern_2_007.png	7
103.716	0.5	0	108	CRF-2	spatialpattern/spatialpattern_2_006.png	6
104.999	0.5	0	111	CRF-5	spatialpattern/spatialpattern_2_013.png	13
106.449	0.5	0	118	SPARSITY-4	spatialpattern/spatialpattern_2_036.png	36
108.066	0.5	0	109	CRF-3	spatialpattern/spatialpattern_2_009.png	9
109.499	0.5	0	118	SPARSITY-4	spatialpattern/spatialpattern_2_034.png	34
