onset	duration	stim_file	trial_type 
1	1	images/ka.jpg	6
3.5	1	images/koe.jpg	5
6	1	images/kie.jpg	4
8.5	1	images/zie.jpg	7
11	1	images/mie.jpg	1
13.5	1	images/zoe.jpg	8
16	1	images/ma.jpg	3
18.5	1	images/za.jpg	9
21	1	images/moe.jpg	2
23.5	1	images/rest.jpg	10
26	1	images/ma.jpg	3
28.5	1	images/ka.jpg	6
31	1	images/za.jpg	9
33.5	1	images/mie.jpg	1
36	1	images/kie.jpg	4
38.5	1	images/moe.jpg	2
41	1	images/zie.jpg	7
43.5	1	images/koe.jpg	5
46	1	images/zoe.jpg	8
48.5	1	images/rest.jpg	10
51	1	images/koe.jpg	5
53.5	1	images/moe.jpg	2
56	1	images/mie.jpg	1
58.5	1	images/zie.jpg	7
61	1	images/kie.jpg	4
63.5	1	images/za.jpg	9
66	1	images/ma.jpg	3
68.5	1	images/zoe.jpg	8
71	1	images/ka.jpg	6
73.5	1	images/rest.jpg	10
76	1	images/za.jpg	9
78.5	1	images/mie.jpg	1
81	1	images/koe.jpg	5
83.5	1	images/kie.jpg	4
86	1	images/ma.jpg	3
88.5	1	images/moe.jpg	2
91	1	images/zie.jpg	7
93.5	1	images/zoe.jpg	8
96	1	images/ka.jpg	6
98.5	1	images/rest.jpg	10
101	1	images/kie.jpg	4
103.5	1	images/mie.jpg	1
106	1	images/zoe.jpg	8
108.5	1	images/koe.jpg	5
111	1	images/ka.jpg	6
113.5	1	images/moe.jpg	2
116	1	images/za.jpg	9
118.5	1	images/ma.jpg	3
121	1	images/zie.jpg	7
123.5	1	images/rest.jpg	10
126	1	images/ma.jpg	3
128.5	1	images/zoe.jpg	8
131	1	images/koe.jpg	5
133.5	1	images/mie.jpg	1
136	1	images/zie.jpg	7
138.5	1	images/moe.jpg	2
141	1	images/za.jpg	9
143.5	1	images/kie.jpg	4
146	1	images/ka.jpg	6
148.5	1	images/rest.jpg	10
151	1	images/moe.jpg	2
153.5	1	images/ma.jpg	3
156	1	images/zie.jpg	7
158.5	1	images/zoe.jpg	8
161	1	images/za.jpg	9
163.5	1	images/koe.jpg	5
166	1	images/mie.jpg	1
168.5	1	images/kie.jpg	4
171	1	images/ka.jpg	6
173.5	1	images/rest.jpg	10
176	1	images/ka.jpg	6
178.5	1	images/moe.jpg	2
181	1	images/ma.jpg	3
183.5	1	images/mie.jpg	1
186	1	images/za.jpg	9
188.5	1	images/koe.jpg	5
191	1	images/kie.jpg	4
193.5	1	images/zie.jpg	7
196	1	images/zoe.jpg	8
198.5	1	images/rest.jpg	10
201	1	images/zie.jpg	7
203.5	1	images/mie.jpg	1
206	1	images/zoe.jpg	8
208.5	1	images/moe.jpg	2
211	1	images/kie.jpg	4
213.5	1	images/ma.jpg	3
216	1	images/ka.jpg	6
218.5	1	images/za.jpg	9
221	1	images/koe.jpg	5
223.5	1	images/rest.jpg	10
226	1	images/kie.jpg	4
228.5	1	images/moe.jpg	2
231	1	images/zie.jpg	7
233.5	1	images/za.jpg	9
236	1	images/ka.jpg	6
238.5	1	images/koe.jpg	5
241	1	images/ma.jpg	3
243.5	1	images/zoe.jpg	8
246	1	images/mie.jpg	1
248.5	1	images/rest.jpg	10
